timestamp,value,metric_name,instance,job,namespace,owner_is_controller,owner_kind,owner_name,replicaset
2025-07-12 05:38:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:39:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:40:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:41:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:42:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:43:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:44:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:45:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:46:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:47:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:48:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:49:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:50:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
2025-07-12 05:51:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,true,Deployment,alloy,alloy-55f4f7d8d8
